tweet_id,favorites,retweets
892420643555336193,36600,7789
892177421306343426,31537,5771
891815181378084864,23757,3820
891689557279858688,39927,7960
891327558926688256,38124,8597
891087950875897856,19179,2870
890971913173991426,11174,1884
890729181411237888,61705,17403
890609185150312448,26427,3957
890240255349198849,30213,6776
890006608113172480,29073,6765
889880896479866881,26412,4606
889665388333682689,45526,9237
889638837579907072,25647,4146
889531135344209921,14329,2081
889278841981685760,23865,4929
888917238123831296,27581,4156
888804989199671297,24236,3927
888554962724278272,18725,3220
888078434458587136,20626,3196
887705289381826560,28622,4961
887517139158093824,43890,10840
887473957103951883,65243,16621
887343217045368832,31897,9647
887101392804085760,29008,5499
886983233522544640,33171,7093
886736880519319552,11368,2973
886680336477933568,21277,4119
886366144734445568,20033,2921
886267009285017600,113,4
886258384151887873,26513,5824
886054160059072513,0,100
885984800019947520,30863,6203
885528943205470208,34061,5890
885518971528720385,19401,3447
885311592912609280,0,17119
885167619883638784,20746,4037
884925521741709313,73198,16707
884876753390489601,26403,5159
884562892145688576,23007,4339
884441805382717440,25628,5246
884247878851493888,68975,18793
884162670584377345,19330,2760
883838122936631299,20714,3181
883482846933004288,43461,9122
883360690899218434,21502,3422
883117836046086144,35164,6125
882992080364220416,22636,3595
882762694511734784,26805,4518
882627270321602560,26509,5606
882268110199369728,42525,10701
882045870035918850,27785,4519
881906580714921986,23048,3131
881666595344535552,47979,9865
881633300179243008,120,7
881536004380872706,46866,14745
881268444196462592,21985,4845
880935762899988482,16165,2575
880872448815771648,20185,3536
880465832366813184,27031,5757
880221127280381952,25585,3855
880095782870896641,26188,4011
879862464715927552,21190,3234
879674319642796034,297,10
879492040517615616,22249,2945
879415818425184262,100328,41068
879376492567855104,15935,2897
879130579576475649,0,6286
879050749262655488,21389,4322
879008229531029506,18009,2480
878776093423087618,18379,3779
878604707211726852,28597,6590
878404777348136964,0,1192
878316110768087041,0,6170
878281511006478336,7330,1192
878057613040115712,39920,6286
877736472329191424,75400,17548
877611172832227328,0,74
877556246731214848,21554,3532
877316821321428993,26011,4804
877201837425926144,25723,5177
876838120628539392,19630,3090
876537666061221889,22425,4335
876484053909872640,17838,2203
876120275196170240,26574,4326
875747767867523072,23913,3965
875144289856114688,20817,4558
875097192612077568,26100,5644
875021211251597312,24224,4392
874680097055178752,26454,4300
874434818259525634,0,13506
874296783580663808,24766,3815
874057562936811520,21605,3691
874012996292530176,32711,9570
873580283840344065,23047,3651
873337748698140672,0,1484
873213775632977920,6820,1484
872967104147763200,26006,5055
872820683541237760,14037,3461
872620804844003328,19764,3403
872486979161796608,38843,8422
872122724285648897,32767,7553
871879754684805121,35958,10297
871762521631449091,19327,3250
871515927908634625,19261,3244
871166179821445120,0,5347
871102520638267392,20000,5161
871032628920680449,21728,3580
870804317367881728,32173,5804
870726314365509632,117,3
870656317836468226,11842,2474
870374049280663552,79274,24803
870308999962521604,20939,3888
870063196459192321,35012,7804
869772420881756160,40714,9487
869702957897576449,27049,5928
869596645499047938,15310,2939
869227993411051520,19573,3562
868880397819494401,62769,13587
868639477480148993,0,1956
868622495443632128,25604,4989
868552278524837888,9684,1956
867900495410671616,23256,3947
867774946302451713,32627,6945
867421006826221569,15466,2350
867072653475098625,0,115
867051520902168576,30966,7441
866720684873056260,19295,4534
866686824827068416,18551,3289
866450705531457537,117666,33352
866334964761202691,50476,13506
866094527597207552,0,7941
865718153858494464,24720,5331
865359393868664832,25515,4745
865006731092295680,27012,7300
864873206498414592,31134,8258
864279568663928832,14076,2868
864197398364647424,28982,8428
863907417377173506,19888,3933
863553081350529029,14759,3987
863471782782697472,0,2312
863432100342583297,23003,4993
863427515083354112,2148,91
863079547188785154,8483,1056
863062471531167744,8186,2312
862831371563274240,18550,4903
862722525377298433,16524,3376
862457590147678208,19795,4711
862096992088072192,71966,22140
861383897657036800,34970,10246
861288531465048066,16642,3958
861005113778896900,16188,3655
860981674716409858,0,2057
860924035999428608,0,771
860563773140209665,7280,2057
860524505164394496,22935,5084
860276583193509888,17818,3350
860184849394610176,16182,5614
860177593139703809,0,29692
859924526012018688,19013,3937
859851578198683649,14992,3373
859607811541651456,18092,1502
859196978902773760,87461,28993
859074603037188101,32932,13118
858860390427611136,0,7836
858843525470990336,15166,3362
858471635011153920,20959,4684
858107933456039936,15359,2809
857989990357356544,15690,2503
857746408056729600,33406,10257
857393404942143489,5754,1584
857263160327368704,19566,4370
857214891891077121,219,17
857062103051644929,0,164
857029823797047296,18455,3871
856543823941562368,15970,2799
856526610513747968,11598,1817
856330835276025856,0,648
856288084350160898,506,15
856282028240666624,27187,6114
855862651834028034,334,25
855860136149123072,4844,962
855857698524602368,11631,2050
855851453814013952,44774,17489
855818117272018944,26149,5282
855459453768019968,29307,8012
855245323840757760,0,5820
855138241867124737,0,43
854732716440526848,22425,5932
854482394044301312,28822,6723
854365224396361728,18605,4592
854120357044912130,31524,7323
854010172552949760,15991,3087
853760880890318849,28206,5630
853639147608842240,34296,9881
853299958564483072,15304,3489
852936405516943360,0,1970
852912242202992640,8940,1787
852672615818899456,14757,2117
852553447878664193,16143,3430
852311364735569921,32805,9792
852226086759018497,19789,6740
852189679701164033,11344,1568
851861385021730816,0,19
851591660324737024,16123,3439
851464819735769094,24065,6964
851224888060895234,20549,5662
850753642995093505,30669,9047
850380195714523136,13014,2591
850333567704068097,3438,328
850145622816686080,16250,3770
850019790995546112,20330,4840
849776966551130114,30320,7556
849668094696017920,0,4920
849412302885593088,15808,3138
849336543269576704,11369,1892
849051919805034497,42215,8423
848690551926992896,25129,4292
848324959059550208,24658,4583
848213670039564288,8159,729
848212111729840128,16280,3025
847978865427394560,0,3244
847971574464610304,0,429
847962785489326080,23463,5059
847842811428974592,5424,1327
847617282490613760,6978,417
847606175596138505,18742,3413
847251039262605312,20492,4296
847157206088847362,19869,5839
847116187444137987,21449,3172
846874817362120707,20114,3918
846514051647705089,44668,11549
846505985330044928,14111,3056
846153765933735936,31675,9038
846139713627017216,31096,9993
846042936437604353,16009,2859
845812042753855489,29319,8700
845677943972139009,25246,4797
845397057150107648,7653,1807
845306882940190720,23407,5392
845098359547420673,0,7659
844979544864018432,13685,2565
844973813909606400,15141,3198
844580511645339650,16528,3134
844223788422217728,13698,2206
843981021012017153,15233,2951
843856843873095681,21554,4636
843604394117681152,16970,2751
843235543001513987,21607,6042
842846295480000512,15346,3648
842765311967449089,6785,1288
842535590457499648,18194,3524
842163532590374912,24614,5820
842115215311396866,14063,3043
841833993020538882,0,15223
841680585030541313,25876,7834
841439858740625411,12735,3705
841320156043304961,19920,5524
841314665196081154,15933,4689
841077006473256960,23028,5347
840761248237133825,0,1780
840728873075638272,0,16261
840698636975636481,177,2
840696689258311684,12381,976
840632337062862849,9073,1780
840370681858686976,16589,4577
840268004936019968,19435,5775
839990271299457024,13538,2296
839549326359670784,27741,7836
839290600511926273,0,145
839239871831150596,27427,6584
838952994649550848,19839,4035
838921590096166913,11271,2082
838916489579200512,0,35
838831947270979586,0,11117
838561493054533637,11037,1348
838476387338051585,22777,4824
838201503651401729,0,10180
838150277551247360,1694,334
838085839343206401,143,1
838083903487373313,17821,3174
837820167694528512,34511,7941
837482249356513284,3882,445
837471256429613056,12945,2300
837110210464448512,16237,2392
836989968035819520,12907,2309
836753516572119041,19551,4694
836677758902222849,12746,2246
836648853927522308,0,561
836397794269200385,0,27873
836380477523124226,14916,3015
836260088725786625,21583,4346
836001077879255040,19334,4311
835685285446955009,0,8224
835574547218894849,18024,3660
835536468978302976,0,1725
835309094223372289,0,21273
835297930240217089,16670,3057
835264098648616962,7833,1725
835246439529840640,2133,73
835172783151792128,26509,5843
835152434251116546,22728,3059
834931633769889797,10961,1671
834786237630337024,21621,5567
834574053763584002,13848,2572
834477809192075265,0,10816
834458053273591808,9749,1706
834209720923721728,20902,4830
834167344700198914,16036,3709
834089966724603904,10174,2168
834086379323871233,13243,2236
833863086058651648,13587,2443
833826103416520705,18278,3821
833732339549220864,0,222
833722901757046785,21083,3279
